environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
220,0.0308233,0.113832,0.470813,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100656,0.00395451,0.00103477
221,0.0307811,0.113762,0.470805,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100597,0.00395213,0.00103401
222,0.0307393,0.113694,0.470798,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100538,0.00394978,0.00103326
223,0.0306978,0.113627,0.470792,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.010048,0.00394746,0.00103253
224,0.0306566,0.113561,0.470786,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100421,0.00394517,0.0010318
225,0.0306158,0.113496,0.47078,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100363,0.0039429,0.00103108
226,0.0305753,0.113432,0.470775,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100305,0.00394065,0.00103038
227,0.030535,0.113369,0.470771,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100248,0.00393842,0.00102968
228,0.0304952,0.113308,0.470766,1.188,1.70968,1.96481,2.13472,2.28562,2.43261,0.0100191,0.00393622,0.00102899
229,0.0304556,0.113247,0.470762,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0100133,0.00393404,0.00102831
230,0.0304163,0.113187,0.470758,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0100077,0.00393188,0.00102764
231,0.0303773,0.113128,0.470755,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.010002,0.00392974,0.00102698
232,0.0303386,0.11307,0.470752,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00999636,0.00392762,0.00102633
233,0.0303003,0.113013,0.470749,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00999073,0.00392551,0.00102569
234,0.0302622,0.112956,0.470746,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00998513,0.00392343,0.00102505
235,0.0302244,0.112901,0.470744,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00997955,0.00392136,0.00102443
236,0.0301868,0.112846,0.470742,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00997399,0.00391931,0.00102381
237,0.0301496,0.112792,0.470739,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00996846,0.00391727,0.0010232
238,0.0301126,0.112738,0.470738,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00996294,0.00391525,0.0010226
239,0.030076,0.112686,0.470736,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00995744,0.00391324,0.001022
240,0.0300396,0.112634,0.470734,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00995196,0.00391125,0.00102142
241,0.0300034,0.112582,0.470733,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0099465,0.00390927,0.00102084
242,0.0299675,0.112532,0.470731,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00994105,0.00390731,0.00102026
