environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
222,0.0405625,0.121756,0.470746,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.021914,0.0115941,0.00348963
223,0.0405349,0.121645,0.470743,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0218978,0.0115779,0.00348554
224,0.0405075,0.121534,0.47074,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0218816,0.0115618,0.0034815
225,0.0404802,0.121423,0.470738,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0218653,0.0115458,0.00347749
226,0.040453,0.12131,0.470736,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0218491,0.0115299,0.00347353
227,0.0404259,0.121196,0.470734,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0218328,0.0115141,0.00346961
228,0.0403989,0.121082,0.470733,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0218166,0.0114984,0.00346573
229,0.0403721,0.120967,0.470731,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0218003,0.0114828,0.00346189
230,0.0403454,0.120851,0.47073,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0217841,0.0114673,0.00345808
231,0.0403188,0.120734,0.470729,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0217678,0.0114519,0.00345432
232,0.0402923,0.120617,0.470727,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0217515,0.0114365,0.00345059
233,0.0402659,0.120499,0.470726,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0217352,0.0114213,0.0034469
234,0.0402396,0.120381,0.470726,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0217189,0.0114061,0.00344324
235,0.0402134,0.120261,0.470725,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0217026,0.011391,0.00343962
236,0.0401872,0.120142,0.470724,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0216863,0.011376,0.00343603
237,0.0401612,0.120021,0.470723,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.02167,0.0113611,0.00343247
238,0.0401353,0.1199,0.470723,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0216537,0.0113462,0.00342895
239,0.0401095,0.119779,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0216373,0.0113314,0.00342546
240,0.0400837,0.119657,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.021621,0.0113166,0.003422
241,0.0400581,0.119535,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0216046,0.011302,0.00341857
242,0.0400325,0.119412,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0215882,0.0112874,0.00341517
243,0.040007,0.119289,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0215719,0.0112728,0.00341181
244,0.0399816,0.119166,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0215555,0.0112583,0.00340847
245,0.0399562,0.119042,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0215391,0.0112439,0.00340515
